Plant,Price EUR,Pot Size,Height,Product URL,Catalogue Page
Acer palmatum 'Butterfly' €8.29 15 cm 40-50 cm,8.29,15 cm,50 cm,https://www.floraccess.com/en/product/37465/acer-palmatum-butterfly/?source=Search,162
Acer palmatum 'Crimson Queen' €10.42 17 cm 40 cm,10.42,17 cm,40 cm,https://www.floraccess.com/en/product/113017/acer-palmatum-crimson-queen/?source=Search,366
Acer palmatum 'Crimson Queen' €14.13 17 cm 35-45 cm,14.13,17 cm,45 cm,https://www.floraccess.com/en/product/125195/acer-palmatum-crimson-queen/?source=Search,366
Acer palmatum 'Crimson Queen' €14.55 19 cm 45-65 cm,14.55,19 cm,65 cm,https://www.floraccess.com/en/product/124070/acer-palmatum-crimson-queen/?source=Search,63
Acer palmatum 'Deshôjô' €125.40 23 cm 40-50 cm,125.4,23 cm,50 cm,https://www.floraccess.com/en/product/90520/acer-palmatum-deshojo/?source=Search,189
Acer palmatum 'Deshôjô' €139.57 27 cm 45-55 cm,139.57,27 cm,55 cm,https://www.floraccess.com/en/product/122309/acer-palmatum-deshojo/?source=Search,366
Acer palmatum 'Deshôjô' €59.26 32 cm 110-130 cm,59.26,32 cm,130 cm,https://www.floraccess.com/en/product/125194/acer-palmatum-deshojo/?source=Search,366
Acer palmatum 'Deshôjô' €90.31 19 cm 35-45 cm,90.31,19 cm,45 cm,https://www.floraccess.com/en/product/121584/acer-palmatum-deshojo/?source=Search,366
Acer palmatum 'Deshôjô' €95.82 22 cm 35-45 cm,95.82,22 cm,45 cm,https://www.floraccess.com/en/product/90518/acer-palmatum-deshojo/?source=Search,298
Acer palmatum 'Dissectum Flavescens' €161.85 40 cm 140-160 cm,161.85,40 cm,160 cm,https://www.floraccess.com/en/product/125191/acer-palmatum-dissectum-flavescens/?source=Search,366
Acer palmatum 'Dissectum Viridis' €90.25 28 cm 120-140 cm,90.25,28 cm,140 cm,https://www.floraccess.com/en/product/103398/acer-palmatum-dissectum-viridis/?source=Search,331
Acer palmatum 'Dissectum' €10.13 17 cm 25-35 cm,10.13,17 cm,35 cm,https://www.floraccess.com/en/product/91015/acer-palmatum-dissectum/?source=Search,366
Acer palmatum 'Dissectum' €13.75 17 cm 25-35 cm,13.75,17 cm,35 cm,https://www.floraccess.com/en/product/125192/acer-palmatum-dissectum/?source=Search,366
