Plant,Price EUR,Pot Size,Height,Product URL,Catalogue Page
Magnolia 'George Henry Kern' €9.80 19 cm 45-55 cm,9.8,19 cm,55 cm,https://www.floraccess.com/en/product/124805/magnolia-george-henry-kern/?source=Search,552
Magnolia 'Heaven Scent' €17.35 23 cm 75-95 cm,17.35,23 cm,95 cm,https://www.floraccess.com/en/product/99939/magnolia-heaven-scent/?source=Search,552
Magnolia 'Susan' €16.90 23 cm 70-90 cm,16.9,23 cm,90 cm,https://www.floraccess.com/en/product/54711/magnolia-susan/?source=Search,553
Magnolia 'Susan' €17.62 23 cm 95-115 cm,17.62,23 cm,115 cm,https://www.floraccess.com/en/product/113617/magnolia-susan/?source=Search,553
Magnolia 'Susan' €46.92 28 cm 70-90 cm,46.92,28 cm,90 cm,https://www.floraccess.com/en/product/105846/magnolia-susan/?source=Search,553
Magnolia 'Susan' €50.09 28 cm 110-130 cm,50.09,28 cm,130 cm,https://www.floraccess.com/en/product/105845/magnolia-susan/?source=Search,349
Magnolia 'Susan' €60.44 29 cm 180-200 cm,60.44,29 cm,200 cm,https://www.floraccess.com/en/product/118442/magnolia-susan/?source=Search,553
Magnolia 'Susan' €66.34 30 cm 110-130 cm,66.34,30 cm,130 cm,https://www.floraccess.com/en/product/105847/magnolia-susan/?source=Search,553
Magnolia 'Susan' €9.80 19 cm 45-55 cm,9.8,19 cm,55 cm,https://www.floraccess.com/en/product/94601/magnolia-susan/?source=Search,553
Magnolia 'Yellow Lantern' €19.75 23 cm 70-90 cm,19.75,23 cm,90 cm,https://www.floraccess.com/en/product/49863/magnolia-yellow-lantern/?source=Search,182
Magnolia BLACK TULIP €10.00 17 cm 30 cm,10.0,17 cm,30 cm,https://www.floraccess.com/en/product/125560/magnolia-black-tulip/?source=Search,553
Magnolia FAIRY MAGNOLIA CREAM €12.57 19 cm 45-55 cm,12.57,19 cm,55 cm,https://www.floraccess.com/en/product/44441/magnolia-fairy-magnolia-cream/?source=Search,553
Magnolia MIX €10.71 19 cm 45-55 cm,10.71,19 cm,55 cm,https://www.floraccess.com/en/product/36741/magnolia-mix/?source=Search,59
Magnolia MIX €15.85 23 cm 45-55 cm,15.85,23 cm,55 cm,https://www.floraccess.com/en/product/104374/magnolia-mix/?source=Search,317
Magnolia MIX €16.45 19 cm 45-55 cm,16.45,19 cm,55 cm,https://www.floraccess.com/en/product/108421/magnolia-mix/?source=Search,205
Magnolia MIX €17.35 23 cm 70-90 cm,17.35,23 cm,90 cm,https://www.floraccess.com/en/product/92120/magnolia-mix/?source=Search,553
Magnolia MIX €3.46 9 cm 25-35 cm,3.46,9 cm,35 cm,https://www.floraccess.com/en/product/63883/magnolia-mix/?source=Search,36
Magnolia WHITE CAVIAR €7.72 19 cm 25 cm,7.72,19 cm,25 cm,https://www.floraccess.com/en/product/69669/magnolia-white-caviar/?source=Search,553
Magnolia denudata YELLOW RIVER €16.54 19 cm 50-70 cm,16.54,19 cm,70 cm,https://www.floraccess.com/en/product/117318/magnolia-denudata-yellow-river/?source=Search,553
Magnolia figo 'Stellar Ruby' €15.75 19 cm 50-70 cm,15.75,19 cm,70 cm,https://www.floraccess.com/en/product/113616/magnolia-figo-stellar-ruby/?source=Search,349
Magnolia figo 'Stellar Ruby' €16.92 19 cm 40-50 cm,16.92,19 cm,50 cm,https://www.floraccess.com/en/product/88593/magnolia-figo-stellar-ruby/?source=Search,317
Magnolia figo 'Stellar Ruby' €8.56 17 cm 30 cm,8.56,17 cm,30 cm,https://www.floraccess.com/en/product/122937/magnolia-figo-stellar-ruby/?source=Search,553
Magnolia figo €7.67 17 cm 25-30 cm,7.67,17 cm,30 cm,https://www.floraccess.com/en/product/125561/magnolia-figo/?source=Search,553
Magnolia grandiflora 'Little Gem' €10.24 17 cm 40-50 cm,10.24,17 cm,50 cm,https://www.floraccess.com/en/product/54421/magnolia-grandiflora-little-gem/?source=Search,12
Magnolia grandiflora 'Little Gem' €17.88 21 cm 50-70 cm,17.88,21 cm,70 cm,https://www.floraccess.com/en/product/54402/magnolia-grandiflora-little-gem/?source=Search,44
Magnolia grandiflora 'Little Gem' €36.22 26 cm 80-100 cm,36.22,26 cm,100 cm,https://www.floraccess.com/en/product/120728/magnolia-grandiflora-little-gem/?source=Search,553
Magnolia grandiflora €20.60 23 cm 70-90 cm,20.6,23 cm,90 cm,https://www.floraccess.com/en/product/107075/magnolia-grandiflora/?source=Search,553
Magnolia grandiflora €24.23 23 cm 90-110 cm,24.23,23 cm,110 cm,https://www.floraccess.com/en/product/118045/magnolia-grandiflora/?source=Search,553
Magnolia grandiflora €9.45 17 cm 40-50 cm,9.45,17 cm,50 cm,https://www.floraccess.com/en/product/112911/magnolia-grandiflora/?source=Search,553
Magnolia kobus €39.99 28 cm 110-130 cm,39.99,28 cm,130 cm,https://www.floraccess.com/en/product/121382/magnolia-kobus/?source=Search,553
Magnolia laevifolia 'Fairy Honey Velvet' €12.73 19 cm 45-55 cm,12.73,19 cm,55 cm,https://www.floraccess.com/en/product/99076/magnolia-laevifolia-fairy-honey-velvet/?source=Search,553
Magnolia laevifolia 'Fairy Honey Velvet' €7.70 15 cm 35-45 cm,7.7,15 cm,45 cm,https://www.floraccess.com/en/product/112502/magnolia-laevifolia-fairy-honey-velvet/?source=Search,239
Magnolia laevifolia VANILLA PEARLS €20.15 19 cm 90-110 cm,20.15,19 cm,110 cm,https://www.floraccess.com/en/product/116126/magnolia-laevifolia-vanilla-pearls/?source=Search,296
Magnolia stellata 'Rosea' €50.09 28 cm 110-130 cm,50.09,28 cm,130 cm,https://www.floraccess.com/en/product/103457/magnolia-stellata-rosea/?source=Search,553
Magnolia stellata €10.71 19 cm 45-55 cm,10.71,19 cm,55 cm,https://www.floraccess.com/en/product/94600/magnolia-stellata/?source=Search,553
Magnolia stellata €16.53 23 cm 55-75 cm,16.53,23 cm,75 cm,https://www.floraccess.com/en/product/26535/magnolia-stellata/?source=Search,553
Magnolia stellata €16.90 23 cm 70-90 cm,16.9,23 cm,90 cm,https://www.floraccess.com/en/product/54710/magnolia-stellata/?source=Search,553
Magnolia stellata €19.49 19 cm 75-95 cm,19.49,19 cm,95 cm,https://www.floraccess.com/en/product/66984/magnolia-stellata/?source=Search,126
Magnolia stellata €48.29 28 cm 70-90 cm,48.29,28 cm,90 cm,https://www.floraccess.com/en/product/105844/magnolia-stellata/?source=Search,349
Magnolia stellata €50.09 28 cm 110-130 cm,50.09,28 cm,130 cm,https://www.floraccess.com/en/product/103456/magnolia-stellata/?source=Search,166
Magnolia stellata €60.44 29 cm 180-200 cm,60.44,29 cm,200 cm,https://www.floraccess.com/en/product/105843/magnolia-stellata/?source=Search,317
Magnolia stellata €66.63 32 cm 110-130 cm,66.63,32 cm,130 cm,https://www.floraccess.com/en/product/102995/magnolia-stellata/?source=Search,349
Magnolia x loebneri 'Leonard Messel' €50.09 29 cm 110-130 cm,50.09,29 cm,130 cm,https://www.floraccess.com/en/product/105001/magnolia-x-loebneri-leonard-messel/?source=Search,166
Magnolia x soulangeana 'Cameo' €10.14 17 cm 25-35 cm,10.14,17 cm,35 cm,https://www.floraccess.com/en/product/80062/magnolia-x-soulangeana-cameo/?source=Search,554
Magnolia x soulangeana 'Superba' €17.35 23 cm 75-95 cm,17.35,23 cm,95 cm,https://www.floraccess.com/en/product/115288/magnolia-x-soulangeana-superba/?source=Search,349
Magnolia x soulangeana alba €9.25 17 cm 25-35 cm,9.25,17 cm,35 cm,https://www.floraccess.com/en/product/64053/magnolia-x-soulangeana-alba/?source=Search,554
Magnolia x soulangeana €10.86 19 cm 45-55 cm,10.86,19 cm,55 cm,https://www.floraccess.com/en/product/96468/magnolia-x-soulangeana/?source=Search,554
Magnolia x soulangeana €17.35 23 cm 75-95 cm,17.35,23 cm,95 cm,https://www.floraccess.com/en/product/114150/magnolia-x-soulangeana/?source=Search,553
Mahonia 'Cabaret' €10.71 19 cm 25-35 cm,10.71,19 cm,35 cm,https://www.floraccess.com/en/product/59373/mahonia-cabaret/?source=Search,222
Mahonia 'Cabaret' €8.68 19 cm 25 cm,8.68,19 cm,25 cm,https://www.floraccess.com/en/product/61917/mahonia-cabaret/?source=Search,263
Mahonia MAGICAL WINTERFERN €14.37 21 cm 40-50 cm,14.37,21 cm,50 cm,https://www.floraccess.com/en/product/125301/mahonia-magical-winterfern/?source=Search,554
Mahonia UNGLEWHISPER €14.67 21 cm 35-45 cm,14.67,21 cm,45 cm,https://www.floraccess.com/en/product/125501/mahonia-unglewhisper/?source=Search,554
Mahonia VOLCANO €10.86 19 cm 25-35 cm,10.86,19 cm,35 cm,https://www.floraccess.com/en/product/97614/mahonia-volcano/?source=Search,554
Mahonia VOLCANO €13.04 19 cm 25-35 cm,13.04,19 cm,35 cm,https://www.floraccess.com/en/product/123439/mahonia-volcano/?source=Search,554
Mahonia VOLCANO €13.79 21 cm 30-40 cm,13.79,21 cm,40 cm,https://www.floraccess.com/en/product/103513/mahonia-volcano/?source=Search,554
Mahonia VOLCANO €7.16 15 cm 30-40 cm,7.16,15 cm,40 cm,https://www.floraccess.com/en/product/97968/mahonia-volcano/?source=Search,554
Mahonia VOLCANO €9.04 17 cm 40-50 cm,9.04,17 cm,50 cm,https://www.floraccess.com/en/product/108133/mahonia-volcano/?source=Search,554
Mahonia bealei €8.27 19 cm 40-50 cm,8.27,19 cm,50 cm,https://www.floraccess.com/en/product/58626/mahonia-bealei/?source=Search,211
Mahonia eurybracteata 'Soft Caress' €10.52 19 cm 25 cm,10.52,19 cm,25 cm,https://www.floraccess.com/en/product/61554/mahonia-eurybracteata-soft-caress/?source=Search,126
Mahonia eurybracteata 'Soft Caress' €11.15 19 cm 30-40 cm,11.15,19 cm,40 cm,https://www.floraccess.com/en/product/116806/mahonia-eurybracteata-soft-caress/?source=Search,554
Mahonia eurybracteata 'Soft Caress' €14.37 21 cm 45-55 cm,14.37,21 cm,55 cm,https://www.floraccess.com/en/product/54428/mahonia-eurybracteata-soft-caress/?source=Search,554
Mahonia eurybracteata 'Soft Caress' €7.16 15 cm 30-40 cm,7.16,15 cm,40 cm,https://www.floraccess.com/en/product/46849/mahonia-eurybracteata-soft-caress/?source=Search,222
Mahonia eurybracteata 'Soft Caress' €8.86 17 cm 25 cm,8.86,17 cm,25 cm,https://www.floraccess.com/en/product/54425/mahonia-eurybracteata-soft-caress/?source=Search,198
Mahonia eurybracteata 'Soft Caress' €8.93 19 cm 25 cm,8.93,19 cm,25 cm,https://www.floraccess.com/en/product/46701/mahonia-eurybracteata-soft-caress/?source=Search,554
Mahonia eurybracteata METEOR €12.88 19 cm 25-35 cm,12.88,19 cm,35 cm,https://www.floraccess.com/en/product/123842/mahonia-eurybracteata-meteor/?source=Search,554
Mahonia eurybracteata METEOR €14.37 21 cm 40-50 cm,14.37,21 cm,50 cm,https://www.floraccess.com/en/product/125302/mahonia-eurybracteata-meteor/?source=Search,554
Mahonia eurybracteata METEOR €9.01 17 cm 25-35 cm,9.01,17 cm,35 cm,https://www.floraccess.com/en/product/99944/mahonia-eurybracteata-meteor/?source=Search,263
Mahonia eurybracteata METEOR €9.26 19 cm 35-45 cm,9.26,19 cm,45 cm,https://www.floraccess.com/en/product/110735/mahonia-eurybracteata-meteor/?source=Search,554
Mahonia eurybracteata SWEET WINTER €18.43 21 cm 50-70 cm,18.43,21 cm,70 cm,https://www.floraccess.com/en/product/103515/mahonia-eurybracteata-sweet-winter/?source=Search,554
Mahonia eurybracteata SWEET WINTER €9.17 19 cm 30-40 cm,9.17,19 cm,40 cm,https://www.floraccess.com/en/product/63949/mahonia-eurybracteata-sweet-winter/?source=Search,126
Mahonia x media 'Charity' €10.47 19 cm 30-40 cm,10.47,19 cm,40 cm,https://www.floraccess.com/en/product/59374/mahonia-x-media-charity/?source=Search,263
Mahonia x media 'Winter Sun' €10.47 19 cm 30-40 cm,10.47,19 cm,40 cm,https://www.floraccess.com/en/product/59376/mahonia-x-media-winter-sun/?source=Search,554
Mahonia x media 'Winter Sun' €17.54 26 cm 60-80 cm,17.54,26 cm,80 cm,https://www.floraccess.com/en/product/46824/mahonia-x-media-winter-sun/?source=Search,554
Mahonia x media 'Winter Sun' €7.94 19 cm 30-40 cm,7.94,19 cm,40 cm,https://www.floraccess.com/en/product/58972/mahonia-x-media-winter-sun/?source=Search,349
Mahonia x media 'Winter Sun' €8.76 17 cm 35-45 cm,8.76,17 cm,45 cm,https://www.floraccess.com/en/product/70340/mahonia-x-media-winter-sun/?source=Search,554
Malus 'Evereste' €50.96 29 cm 110-130 cm,50.96,29 cm,130 cm,https://www.floraccess.com/en/product/105848/malus-evereste/?source=Search,554
Malus 'Evereste' €58.18 29 cm 170-190 cm,58.18,29 cm,190 cm,https://www.floraccess.com/en/product/105849/malus-evereste/?source=Search,554
Malus 'Evereste' €68.58 30 cm 210-230 cm,68.58,30 cm,230 cm,https://www.floraccess.com/en/product/102987/malus-evereste/?source=Search,299
Malus 'Evereste' €70.95 29 cm 190-210 cm,70.95,29 cm,210 cm,https://www.floraccess.com/en/product/102994/malus-evereste/?source=Search,554
Malus 'Fontana' €50.96 29 cm 110-130 cm,50.96,29 cm,130 cm,https://www.floraccess.com/en/product/105850/malus-fontana/?source=Search,554
Malus 'Golden Hornet' €76.90 30 cm 190-210 cm,76.9,30 cm,210 cm,https://www.floraccess.com/en/product/102988/malus-golden-hornet/?source=Search,555
Malus 'Golden Hornet' €79.64 30 cm 190-210 cm,79.64,30 cm,210 cm,https://www.floraccess.com/en/product/105003/malus-golden-hornet/?source=Search,555
Malus 'Red Jade' €52.83 29 cm 110-130 cm,52.83,29 cm,130 cm,https://www.floraccess.com/en/product/105851/malus-red-jade/?source=Search,555
Malus 'Red Sentinel' €53.92 29 cm 110-130 cm,53.92,29 cm,130 cm,https://www.floraccess.com/en/product/105852/malus-red-sentinel/?source=Search,555
Malus 'Red Sentinel' €57.53 29 cm 110-130 cm,57.53,29 cm,130 cm,https://www.floraccess.com/en/product/105854/malus-red-sentinel/?source=Search,555
Malus 'Red Sentinel' €58.18 29 cm 170-190 cm,58.18,29 cm,190 cm,https://www.floraccess.com/en/product/105853/malus-red-sentinel/?source=Search,555
Malus 'Red Sentinel' €60.02 28 cm 210-230 cm,60.02,28 cm,230 cm,https://www.floraccess.com/en/product/102983/malus-red-sentinel/?source=Search,555
Malus 'Royal Beauty' €51.66 29 cm 110-130 cm,51.66,29 cm,130 cm,https://www.floraccess.com/en/product/105855/malus-royal-beauty/?source=Search,555
Malus 'Royal Beauty' €89.50 32 cm 170-190 cm,89.5,32 cm,190 cm,https://www.floraccess.com/en/product/105856/malus-royal-beauty/?source=Search,555
Malus 'Royalty' €126.00 28 cm 220-240 cm,126.0,28 cm,240 cm,https://www.floraccess.com/en/product/103460/malus-royalty/?source=Search,555
Malus 'Royalty' €54.47 29 cm 110-130 cm,54.47,29 cm,130 cm,https://www.floraccess.com/en/product/105857/malus-royalty/?source=Search,317
Malus 'Rudolph' €71.19 30 cm 190-210 cm,71.19,30 cm,210 cm,https://www.floraccess.com/en/product/102996/malus-rudolph/?source=Search,555
Malus domestica 'Braeburn' €5.77 9 cm 30-40 cm,5.77,9 cm,40 cm,https://www.floraccess.com/en/product/63874/malus-domestica-braeburn/?source=Search,170
Malus domestica 'Elstar' €15.11 23 cm 80-100 cm,15.11,23 cm,100 cm,https://www.floraccess.com/en/product/108066/malus-domestica-elstar/?source=Search,555
Malus domestica 'Elstar' €16.65 23 cm 90-110 cm,16.65,23 cm,110 cm,https://www.floraccess.com/en/product/90326/malus-domestica-elstar/?source=Search,555
Malus domestica 'Elstar' €24.68 27 cm 210-230 cm,24.68,27 cm,230 cm,https://www.floraccess.com/en/product/90327/malus-domestica-elstar/?source=Search,555
Malus domestica 'Elstar' €32.32 27 cm 210-230 cm,32.32,27 cm,230 cm,https://www.floraccess.com/en/product/89932/malus-domestica-elstar/?source=Search,555
Malus domestica 'Elstar' €7.39 15 cm 45-55 cm,7.39,15 cm,55 cm,https://www.floraccess.com/en/product/57774/malus-domestica-elstar/?source=Search,65
Malus domestica 'Gala' €16.65 23 cm 90-110 cm,16.65,23 cm,110 cm,https://www.floraccess.com/en/product/89923/malus-domestica-gala/?source=Search,317
Malus domestica 'Gala' €5.77 9 cm 30-40 cm,5.77,9 cm,40 cm,https://www.floraccess.com/en/product/63873/malus-domestica-gala/?source=Search,143
Malus domestica 'Golden Delicious' €5.77 9 cm 30-40 cm,5.77,9 cm,40 cm,https://www.floraccess.com/en/product/63871/malus-domestica-golden-delicious/?source=Search,138
Malus domestica 'Jonagold' €15.11 23 cm 80-100 cm,15.11,23 cm,100 cm,https://www.floraccess.com/en/product/108880/malus-domestica-jonagold/?source=Search,555
Malus domestica 'Jonagold' €16.65 23 cm 90-110 cm,16.65,23 cm,110 cm,https://www.floraccess.com/en/product/90328/malus-domestica-jonagold/?source=Search,555
Malus domestica 'Jonagold' €7.39 15 cm 45-55 cm,7.39,15 cm,55 cm,https://www.floraccess.com/en/product/57775/malus-domestica-jonagold/?source=Search,109
Malus domestica 'Rode Boskoop' €16.65 23 cm 90-110 cm,16.65,23 cm,110 cm,https://www.floraccess.com/en/product/67665/malus-domestica-rode-boskoop/?source=Search,170
Malus domestica €34.47 15 cm 25-35 cm,34.47,15 cm,35 cm,https://www.floraccess.com/en/product/118799/malus-domestica/?source=Search,122
Malus domestica €576.48 41 cm 50-70 cm,576.48,41 cm,70 cm,https://www.floraccess.com/en/product/118798/malus-domestica/?source=Search,555
Malva moschata 'Alba' €1.42 9 cm 15 cm,1.42,9 cm,15 cm,https://www.floraccess.com/en/product/80370/malva-moschata-alba/?source=Search,555
Malva moschata 'Alba' €1.67 9 cm 15 cm,1.67,9 cm,15 cm,https://www.floraccess.com/en/product/65889/malva-moschata-alba/?source=Search,349
Mammillaria bocasana 'Fred' €1.50 5.5 cm 12 cm,1.5,5.5 cm,12 cm,https://www.floraccess.com/en/product/124286/mammillaria-bocasana-fred/?source=Search,555
Mammillaria bocasana 'Fred' €2.75 8.5 cm 16 cm,2.75,8.5 cm,16 cm,https://www.floraccess.com/en/product/124287/mammillaria-bocasana-fred/?source=Search,555
Mammillaria bombycina €1.04 5.5 cm 9 cm,1.04,5.5 cm,9 cm,https://www.floraccess.com/en/product/124285/mammillaria-bombycina/?source=Search,555
Mammillaria bombycina €1.83 8.5 cm 12 cm,1.83,8.5 cm,12 cm,https://www.floraccess.com/en/product/100271/mammillaria-bombycina/?source=Search,555
Mammillaria candida €1.14 5.5 cm 12 cm,1.14,5.5 cm,12 cm,https://www.floraccess.com/en/product/116537/mammillaria-candida/?source=Search,556
Mammillaria candida €2.08 8.5 cm 15 cm,2.08,8.5 cm,15 cm,https://www.floraccess.com/en/product/124284/mammillaria-candida/?source=Search,556
Mammillaria candida €3.43 10.5 cm 16 cm,3.43,10.5 cm,16 cm,https://www.floraccess.com/en/product/115144/mammillaria-candida/?source=Search,555
Mammillaria cobrensis €1.11 5.5 cm 14 cm,1.11,5.5 cm,14 cm,https://www.floraccess.com/en/product/124283/mammillaria-cobrensis/?source=Search,556
Mammillaria densispina €1.38 6 cm 12 cm,1.38,6 cm,12 cm,https://www.floraccess.com/en/product/85545/mammillaria-densispina/?source=Search,556
Mammillaria elongata rubra €2.27 8.5 cm 20 cm,2.27,8.5 cm,20 cm,https://www.floraccess.com/en/product/124279/mammillaria-elongata-rubra/?source=Search,556
Mammillaria elongata €1.91 8.5 cm 12 cm,1.91,8.5 cm,12 cm,https://www.floraccess.com/en/product/44671/mammillaria-elongata/?source=Search,556
Mammillaria elongata €2.08 8.5 cm 15 cm,2.08,8.5 cm,15 cm,https://www.floraccess.com/en/product/124282/mammillaria-elongata/?source=Search,556
Mammillaria ernestii cristata €1.50 5.5 cm 12 cm,1.5,5.5 cm,12 cm,https://www.floraccess.com/en/product/124280/mammillaria-ernestii-cristata/?source=Search,556
Mammillaria ernestii cristata €6.74 12 cm 16 cm,6.74,12 cm,16 cm,https://www.floraccess.com/en/product/124281/mammillaria-ernestii-cristata/?source=Search,556
Mammillaria ernestii €0.91 5.5 cm 8 cm,0.91,5.5 cm,8 cm,https://www.floraccess.com/en/product/122793/mammillaria-ernestii/?source=Search,556
Mammillaria geminispina €1.36 6 cm 8 cm,1.36,6 cm,8 cm,https://www.floraccess.com/en/product/102802/mammillaria-geminispina/?source=Search,556
Mammillaria gracilis 'Albata' €2.82 8.5 cm 12 cm,2.82,8.5 cm,12 cm,https://www.floraccess.com/en/product/122929/mammillaria-gracilis-albata/?source=Search,556
Mammillaria gracilis 'Oruga' €2.68 6.5 cm 8 cm,2.68,6.5 cm,8 cm,https://www.floraccess.com/en/product/69114/mammillaria-gracilis-oruga/?source=Search,86
Mammillaria hahniana €0.97 5.5 cm 12 cm,0.97,5.5 cm,12 cm,https://www.floraccess.com/en/product/115150/mammillaria-hahniana/?source=Search,556
Mammillaria hahniana €13.97 17 cm 18 cm,13.97,17 cm,18 cm,https://www.floraccess.com/en/product/89296/mammillaria-hahniana/?source=Search,556
Mammillaria hahniana €2.18 8.5 cm 16 cm,2.18,8.5 cm,16 cm,https://www.floraccess.com/en/product/115151/mammillaria-hahniana/?source=Search,556
Mammillaria hahniana €2.89 10.5 cm 15 cm,2.89,10.5 cm,15 cm,https://www.floraccess.com/en/product/92300/mammillaria-hahniana/?source=Search,556
Mammillaria hahniana €6.06 11 cm 20 cm,6.06,11 cm,20 cm,https://www.floraccess.com/en/product/123932/mammillaria-hahniana/?source=Search,556
Mammillaria lenta €29.13 17 cm 20 cm,29.13,17 cm,20 cm,https://www.floraccess.com/en/product/102121/mammillaria-lenta/?source=Search,556
Mammillaria lenta €7.44 10 cm 17 cm,7.44,10 cm,17 cm,https://www.floraccess.com/en/product/99219/mammillaria-lenta/?source=Search,556
Mammillaria magnimamma 'Toluca' €1.10 5.5 cm 8 cm,1.1,5.5 cm,8 cm,https://www.floraccess.com/en/product/78208/mammillaria-magnimamma-toluca/?source=Search,556
Mammillaria matudae cristata €2.68 6.5 cm 8 cm,2.68,6.5 cm,8 cm,https://www.floraccess.com/en/product/117900/mammillaria-matudae-cristata/?source=Search,349
Mammillaria matudae €1.27 5.5 cm 10 cm,1.27,5.5 cm,10 cm,https://www.floraccess.com/en/product/115170/mammillaria-matudae/?source=Search,349
Mammillaria matudae €2.96 8.5 cm 15 cm,2.96,8.5 cm,15 cm,https://www.floraccess.com/en/product/117289/mammillaria-matudae/?source=Search,556
Mammillaria microthele superfina €1.34 5.5 cm 15 cm,1.34,5.5 cm,15 cm,https://www.floraccess.com/en/product/115168/mammillaria-microthele-superfina/?source=Search,556
Mammillaria microthele superfina €2.98 8.5 cm 18 cm,2.98,8.5 cm,18 cm,https://www.floraccess.com/en/product/115169/mammillaria-microthele-superfina/?source=Search,556
Mammillaria perbella €1.52 5.5 cm 7.5 cm,1.52,5.5 cm,7.5 cm,https://www.floraccess.com/en/product/92801/mammillaria-perbella/?source=Search,349
Mammillaria plumosa €1.01 5.5 cm 10 cm,1.01,5.5 cm,10 cm,https://www.floraccess.com/en/product/115165/mammillaria-plumosa/?source=Search,557
Mammillaria plumosa €21.30 17 cm 20 cm,21.3,17 cm,20 cm,https://www.floraccess.com/en/product/107309/mammillaria-plumosa/?source=Search,556
Mammillaria polythele 'Toluca' €0.98 5.5 cm 8 cm,0.98,5.5 cm,8 cm,https://www.floraccess.com/en/product/118883/mammillaria-polythele-toluca/?source=Search,557
Mammillaria polythele 'Toluca' €2.25 8.5 cm 12 cm,2.25,8.5 cm,12 cm,https://www.floraccess.com/en/product/44752/mammillaria-polythele-toluca/?source=Search,263
Mammillaria polythele 'Toluca' €2.89 10.5 cm 15 cm,2.89,10.5 cm,15 cm,https://www.floraccess.com/en/product/48886/mammillaria-polythele-toluca/?source=Search,263
Mammillaria polythele 'Toluca' €4.03 12 cm 15 cm,4.03,12 cm,15 cm,https://www.floraccess.com/en/product/108753/mammillaria-polythele-toluca/?source=Search,557
Mammillaria polythele 'Toluca' €4.93 12 cm 20 cm,4.93,12 cm,20 cm,https://www.floraccess.com/en/product/115158/mammillaria-polythele-toluca/?source=Search,126
Mammillaria pringlei €19.86 20 cm 20 cm,19.86,20 cm,20 cm,https://www.floraccess.com/en/product/100268/mammillaria-pringlei/?source=Search,557
Mammillaria pringlei €2.98 10.5 cm 15 cm,2.98,10.5 cm,15 cm,https://www.floraccess.com/en/product/108752/mammillaria-pringlei/?source=Search,557
Mammillaria rhodantha €1.36 6 cm 12 cm,1.36,6 cm,12 cm,https://www.floraccess.com/en/product/85547/mammillaria-rhodantha/?source=Search,557
Mammillaria spinosissima 'Un Pico Cristata' €14.35 15 cm 15 cm,14.35,15 cm,15 cm,https://www.floraccess.com/en/product/115662/mammillaria-spinosissima-un-pico-cristata/?source=Search,349
Mammillaria spinosissima 'Un Pico Cristata' €6.74 12 cm 16 cm,6.74,12 cm,16 cm,https://www.floraccess.com/en/product/114883/mammillaria-spinosissima-un-pico-cristata/?source=Search,557
Mammillaria spinosissima 'Un Pico' €1.03 5.5 cm 8 cm,1.03,5.5 cm,8 cm,https://www.floraccess.com/en/product/115162/mammillaria-spinosissima-un-pico/?source=Search,557
Mammillaria spinosissima pilcayensis €1.91 8.5 cm 12 cm,1.91,8.5 cm,12 cm,https://www.floraccess.com/en/product/100266/mammillaria-spinosissima-pilcayensis/?source=Search,557
Mammillaria spinosissima €0.91 5.5 cm 8 cm,0.91,5.5 cm,8 cm,https://www.floraccess.com/en/product/118884/mammillaria-spinosissima/?source=Search,557
Mammillaria spinosissima €0.98 5.5 cm 10 cm,0.98,5.5 cm,10 cm,https://www.floraccess.com/en/product/124313/mammillaria-spinosissima/?source=Search,557
Mammillaria spinosissima €2.89 10.5 cm 15 cm,2.89,10.5 cm,15 cm,https://www.floraccess.com/en/product/92360/mammillaria-spinosissima/?source=Search,557
Mammillaria vetula gracilis 'Arizona Snowcap' €1.15 5.5 cm 12 cm,1.15,5.5 cm,12 cm,https://www.floraccess.com/en/product/114896/mammillaria-vetula-gracilis-arizona-snowcap/?source=Search,557
Mammillaria vetula gracilis 'Arizona Snowcap' €2.66 8.5 cm 15 cm,2.66,8.5 cm,15 cm,https://www.floraccess.com/en/product/114895/mammillaria-vetula-gracilis-arizona-snowcap/?source=Search,557
Mammillaria voburnensis €1.91 8.5 cm 12 cm,1.91,8.5 cm,12 cm,https://www.floraccess.com/en/product/69812/mammillaria-voburnensis/?source=Search,557
Mammillaria zeilmanniana €1.86 6 cm 10 cm,1.86,6 cm,10 cm,https://www.floraccess.com/en/product/85550/mammillaria-zeilmanniana/?source=Search,557
Mandevilla MIX €11.03 19 cm 65-85 cm,11.03,19 cm,85 cm,https://www.floraccess.com/en/product/70548/mandevilla-mix/?source=Search,179
Maranta 'Light Veins' €4.52 12 cm 25 cm,4.52,12 cm,25 cm,https://www.floraccess.com/en/product/124827/maranta-light-veins/?source=Search,557
Maranta leuconeura 'Amabilis Amagris' €2.30 6 cm 12 cm,2.3,6 cm,12 cm,https://www.floraccess.com/en/product/107742/maranta-leuconeura-amabilis-amagris/?source=Search,144
Maranta leuconeura 'Amabilis' €2.11 6 cm 12 cm,2.11,6 cm,12 cm,https://www.floraccess.com/en/product/54119/maranta-leuconeura-amabilis/?source=Search,31
Maranta leuconeura 'Fascinator' €1.36 6 cm 12 cm,1.36,6 cm,12 cm,https://www.floraccess.com/en/product/120865/maranta-leuconeura-fascinator/?source=Search,189
Maranta leuconeura 'Fascinator' €1.95 8.5 cm 25 cm,1.95,8.5 cm,25 cm,https://www.floraccess.com/en/product/94514/maranta-leuconeura-fascinator/?source=Search,31
Maranta leuconeura 'Fascinator' €3.78 12 cm 25-35 cm,3.78,12 cm,35 cm,https://www.floraccess.com/en/product/64921/maranta-leuconeura-fascinator/?source=Search,161
